,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,20,CA,1552779170,68,62.45,62.45,24.8,11.41
1,punta arenas,90,CL,1552779192,93,-53.16,-53.16,51.8,4.7
2,butaritari,92,KI,1552779577,100,3.07,3.07,75.9,11.65
3,ardakan,0,IR,1552777200,24,32.31,32.31,55.4,4.7
4,busselton,68,AU,1552779350,49,-33.64,-33.64,69.01,20.71
5,cape town,75,ZA,1552779491,93,-33.93,-33.93,64.0,4.7
6,san ramon de la nueva oran,88,AR,1552779578,88,-23.13,-23.13,74.37,1.48
7,vanimo,76,PG,1552779578,100,-2.67,-2.67,80.31,9.08
8,codrington,40,AU,1552779370,78,-28.95,-28.95,73.4,3.04
9,jaciara,0,BR,1552779579,78,-15.95,-15.95,79.54,2.15
10,barra do bugres,0,BR,1552779579,84,-15.07,-15.07,82.92,2.82
11,road town,40,VG,1552779476,73,18.42,18.42,78.8,5.82
12,san cristobal,75,EC,1552779123,68,-0.39,-0.39,66.2,10.29
13,kodiak,75,US,1552779299,13,39.95,39.95,55.99,8.05
14,kaitangata,0,NZ,1552779485,72,-46.28,-46.28,62.01,7.0
15,hami,0,CN,1552779580,53,42.84,42.84,32.43,8.63
16,jamestown,0,AU,1552779581,87,-33.21,-33.21,69.69,4.16
17,geraldton,90,CA,1552777200,67,49.72,49.72,17.6,10.29
18,yeppoon,76,AU,1552777200,69,-23.13,-23.13,82.4,6.93
19,thompson,90,CA,1552777200,42,55.74,55.74,26.6,4.7
20,avarua,100,CK,1552777200,74,-21.21,-21.21,84.2,24.16
21,cernesti,92,RO,1552779000,86,47.52,47.52,45.0,3.36
22,new norfolk,40,AU,1552779856,63,-42.78,-42.78,66.99,4.7
23,pacific grove,1,US,1552779784,59,36.62,36.62,73.99,6.93
24,rikitea,64,PF,1552779800,100,-23.12,-23.12,77.52,23.4
25,aklavik,20,CA,1552777200,57,68.22,68.22,24.8,6.93
26,ponta do sol,88,BR,1552779758,88,-20.63,-20.63,71.04,4.72
27,albany,40,US,1552779730,51,42.65,42.65,35.6,11.41
28,torbay,90,CA,1552779517,93,47.66,47.66,46.99,29.97
29,awjilah,0,LY,1552779878,74,29.14,29.14,50.52,3.6
30,saskylakh,68,RU,1552779878,86,71.97,71.97,-6.28,6.62
31,dikson,68,RU,1552779756,94,73.51,73.51,8.58,24.18
32,khatanga,64,RU,1552779768,73,71.98,71.98,-10.87,1.14
33,tashtagol,76,RU,1552779879,84,52.76,52.76,19.56,5.61
34,chifeng,0,CN,1552779879,46,42.27,42.27,29.1,4.61
35,whyalla,0,AU,1552777200,73,-33.04,-33.04,71.6,10.29
36,ayan,92,TR,1552779880,90,40.67,40.67,30.81,5.17
37,fukue,75,JP,1552779845,56,35.03,35.03,48.99,9.17
38,hasaki,20,JP,1552779275,52,35.73,35.73,45.0,3.36
39,kolding,92,DK,1552779756,93,55.49,55.49,46.4,31.09
40,bredasdorp,12,ZA,1552779060,88,-34.53,-34.53,71.6,4.7
41,vaini,0,IN,1552779881,84,15.34,15.34,64.92,3.15
42,iqaluit,75,CA,1552779765,59,63.75,63.75,3.2,20.8
43,troitsko-pechorsk,44,RU,1552779881,86,62.71,62.71,14.97,5.06
44,poum,0,MK,1552779881,80,41.28,41.28,25.27,1.81
45,chuy,76,UY,1552779881,91,-33.69,-33.69,72.75,15.68
46,port alfred,8,ZA,1552779611,97,-33.59,-33.59,72.0,1.01
47,victoria,75,BN,1552777200,78,5.28,5.28,80.6,5.82
48,te anau,8,NZ,1552779766,68,-45.41,-45.41,66.63,2.26
49,doha,0,QA,1552777200,73,25.29,25.29,71.6,18.34
50,tasiilaq,76,GL,1552776600,72,65.61,65.61,17.6,1.12
51,kapaa,40,US,1552779503,61,22.08,22.08,78.8,10.29
52,ushuaia,40,AR,1552777200,87,-54.81,-54.81,48.2,0.58
53,hithadhoo,68,MV,1552779882,100,-0.6,-0.6,79.59,0.58
54,aykhal,64,RU,1552779882,78,65.95,65.95,5.47,8.3
55,east london,0,ZA,1552779649,96,-33.02,-33.02,76.89,20.04
56,meulaboh,0,ID,1552779764,100,4.14,4.14,78.37,2.93
57,barrow,68,AR,1552779883,86,-38.31,-38.31,68.61,9.75
58,zyryanka,48,RU,1552779883,62,65.73,65.73,-7.72,2.71
59,luderitz,0,NA,1552779751,92,-26.65,-26.65,60.82,9.42
60,namtsy,0,RU,1552777200,75,62.72,62.72,-18.41,4.47
61,souillac,0,FR,1552779730,87,45.6,45.6,50.0,4.7
62,tura,24,IN,1552779792,76,25.52,25.52,58.89,2.37
63,tuktoyaktuk,40,CA,1552777200,77,69.44,69.44,5.0,13.87
64,cidreira,80,BR,1552779767,81,-30.17,-30.17,73.87,14.34
65,zhanjiang,88,CN,1552779884,94,21.2,21.2,71.22,15.35
66,lamu,68,ID,1552779884,96,0.57,0.57,75.81,3.04
67,kalyazin,80,RU,1552779884,84,57.24,57.24,26.58,8.19
68,zhongshu,0,CN,1552779884,66,24.52,24.52,55.2,8.41
69,bluff,80,AU,1552779760,100,-23.58,-23.58,73.65,4.16
70,christchurch,0,NZ,1552779746,82,-43.53,-43.53,72.0,9.17
71,georgetown,40,GY,1552777200,78,6.8,6.8,80.6,11.41
72,mataura,12,NZ,1552779606,73,-46.19,-46.19,64.99,1.01
73,srednekolymsk,36,RU,1552779886,72,67.46,67.46,-10.73,2.82
74,qaanaaq,8,GL,1552779886,100,77.48,77.48,-23.65,5.39
75,waddan,0,LY,1552779887,81,29.16,29.16,42.82,2.93
76,upernavik,20,GL,1552779887,100,72.79,72.79,-11.99,13.22
77,amazar,64,RU,1552779887,70,53.86,53.86,22.62,4.16
78,beringovskiy,48,RU,1552779773,98,63.05,63.05,3.49,16.46
79,ushtobe,8,KZ,1552779888,88,45.25,45.25,33.82,2.59
80,biak,8,ID,1552779888,92,-0.91,-0.91,81.16,1.03
81,hobart,40,AU,1552779856,63,-42.88,-42.88,66.99,4.7
82,grand gaube,40,MU,1552779848,94,-20.01,-20.01,77.0,8.75
83,mason city,90,US,1552779871,69,43.15,43.15,35.6,1.03
84,hermanus,12,ZA,1552779074,98,-34.42,-34.42,64.99,2.93
85,kananga,56,CD,1552779889,98,-5.9,-5.9,70.36,2.59
86,chokurdakh,68,RU,1552779889,86,70.62,70.62,-9.74,5.39
87,atuona,0,PF,1552779889,100,-9.8,-9.8,82.51,11.99
88,saint-augustin,0,FR,1552779730,87,44.83,44.83,51.8,9.17
89,san francisco,20,US,1552779652,42,37.78,37.78,73.99,4.05
90,saint-pierre,0,FR,1552779724,81,48.95,48.95,51.8,20.8
91,cayenne,92,GF,1552779000,83,4.94,4.94,77.0,6.85
92,barentu,0,ER,1552779892,78,15.11,15.11,62.17,1.92
93,mosquera,40,CO,1552777200,72,4.71,4.71,60.8,8.05
94,bandarbeyla,92,SO,1552779758,100,9.49,9.49,77.61,7.4
95,nikolskoye,90,RU,1552779635,80,59.7,59.7,34.0,6.71
96,shizunai,32,JP,1552779893,87,42.33,42.33,32.88,7.63
97,guigue,48,VE,1552779893,77,10.09,10.09,75.09,3.27
98,mar del plata,0,AR,1552779732,38,-46.43,-46.43,73.02,15.01
99,cabedelo,0,BR,1552777200,83,-6.97,-6.97,78.8,4.7
100,moose factory,90,CA,1552778160,72,51.26,51.26,12.2,12.75
101,coracao de jesus,64,BR,1552779893,87,-16.69,-16.69,72.61,5.17
102,changping,0,CN,1552777200,64,40.22,40.22,33.8,2.24
103,caravelas,8,BR,1552779799,100,-17.73,-17.73,83.46,15.46
104,saint anthony,1,US,1552779633,41,43.97,43.97,44.6,5.82
105,port elizabeth,1,US,1552779875,36,39.31,39.31,46.99,13.87
106,arraial do cabo,75,BR,1552777200,94,-22.97,-22.97,77.0,3.36
107,bethel,90,US,1552779000,85,60.79,60.79,26.6,20.8
108,pa sang,0,TH,1552779286,77,18.53,18.53,73.0,1.92
109,koraput,0,IN,1552779895,86,18.81,18.81,58.71,2.15
110,narasingapuram,0,IN,1552779895,88,11.61,11.61,57.09,1.59
111,neiafu,40,TO,1552777200,74,-18.65,-18.65,84.2,5.82
112,guayape,80,HN,1552779896,49,14.79,14.79,77.16,2.15
113,abu samrah,76,SY,1552779896,96,35.3,35.3,47.82,8.75
114,maiduguri,76,NG,1552779896,19,11.84,11.84,80.4,12.44
115,sayyan,0,YE,1552779896,91,15.17,15.17,47.28,1.25
116,buritis,24,BR,1552779897,67,-15.62,-15.62,79.68,3.6
117,paamiut,88,GL,1552779897,90,61.99,61.99,32.02,22.95
118,paraiso,75,MX,1552779615,11,24.01,24.01,71.6,25.28
119,tonantins,20,BR,1552779898,89,-2.86,-2.86,78.64,4.61
120,ancud,32,CL,1552777200,67,-41.87,-41.87,62.6,4.7
121,mae sai,36,MM,1552777200,100,20.44,20.44,64.4,0.69
122,edson,1,CA,1552777200,31,53.59,53.59,46.4,2.24
123,castro,32,CL,1552777200,67,-42.48,-42.48,62.6,4.7
124,sorland,0,NO,1552779899,100,67.67,67.67,35.76,6.17
125,provideniya,0,RU,1552779899,100,64.42,64.42,19.24,13.78
126,balabac,0,PH,1552779899,100,7.99,7.99,81.34,8.75
127,tarare,0,FR,1552779091,70,45.89,45.89,55.4,4.7
128,mendi,0,ET,1552779900,31,9.8,9.8,64.87,4.61
129,smirnykh,8,RU,1552779900,79,49.74,49.74,24.69,3.94
130,san patricio,92,PY,1552779900,98,-26.98,-26.98,70.23,4.72
131,south venice,1,US,1552779894,88,27.05,27.05,75.99,9.17
132,angoche,32,MZ,1552779901,100,-16.23,-16.23,81.66,10.98
133,mirnyy,88,RU,1552779901,94,56.57,56.57,28.87,10.42
